its,load_time(us),get_time(us)
1399,3335,25,14
1400,3541,51,14
1401,3336,47,14
1402,3326,25,16
1403,3550,50,14
1404,3335,46,15
1405,3674,27,15
1406,3336,52,16
1407,3335,46,14
1408,3510,29,16
1409,3332,50,15
1410,3328,27,15
1411,3787,53,15
1412,3335,49,13
1413,3907,24,14
1414,3336,50,13
1415,3335,47,16
1416,3659,27,14
1417,3335,57,14
1418,3335,47,13
1419,3645,29,14
1420,3362,59,14
1421,5139,73,18
1422,3472,26,14
1423,3304,45,13
1424,3636,45,16
1425,3273,26,14
1426,3715,40,13
1427,3377,30,14
1428,3671,97,16
1429,3804,74,14
1430,3338,26,14
1431,3317,42,14
1432,3698,50,14
1433,3291,25,13
1434,3395,38,12
1435,3422,52,23
1436,3303,26,14
1437,3719,50,16
1438,3294,42,14
1439,3260,24,14
1440,3727,50,13
1441,3258,43,15
1442,3260,47,31
1443,3636,52,14
1444,3268,44,15
1445,3682,26,14
1446,3307,48,13
1447,3303,25,14
1448,3677,54,14
1449,3304,43,13
1450,3302,24,15
1451,3771,55,15
1452,3333,82,14
1453,3441,26,13
1454,3365,48,14
1455,3298,44,14
1456,3729,25,13
1457,3320,45,12
1458,3286,40,12
1459,3704,28,14
1460,3286,45,14
1461,3446,31,12
1462,3520,26,13
1463,3329,45,13
1464,3675,26,14
1465,3287,50,14
1466,3288,43,13
1467,3658,29,14
1468,3333,52,14
1469,3305,75,12
1470,3433,28,14
1471,3331,51,13
1472,3491,53,14
1473,3331,25,14
1474,3331,46,15
1475,3490,52,14
1476,3348,26,14
1477,3470,41,13
1478,3505,54,14
1479,3326,25,15
1480,3495,48,13
1481,3331,44,15
1482,3330,25,15
1483,3626,58,14
1484,3329,24,14
1485,3377,36,11
1486,3435,53,29
1487,3352,29,14
1488,3490,49,14
1489,3332,46,14
